time[s],deltaTime[s],rainfall[m],totalWaterLevel[m],surfaceFlow[m3/s],surfaceVolRunoff[m3]
30,30,0,0,0,0
30,30,0.004166667,0.003692434,0,0
35.0002,5.0002,0.000694472,0.004341622,0.004377722,0.021889483
39.4422,4.442,0.000616944,0.00491861,0.005794266,0.025738129
43.497,4.0548,0.000563167,0.005445496,0.00719112,0.029158552
47.2612,3.7642,0.000522806,0.005934766,0.008576176,0.032282443
50.7959,3.5347,0.000490931,0.006394319,0.009953384,0.035182226
54.1431,3.3472,0.000464889,0.006829587,0.011324939,0.037906834
57.333,3.1899,0.000443042,0.007244477,0.012692287,0.040487126
60.3883,3.0553,0.000424347,0.007641924,0.014056353,0.042946376
63.3267,2.9384,0.000408111,0.00802422,0.015417789,0.045303633
66.1621,2.8354,0.000393806,0.008393164,0.016777119,0.047569844
68.9058,2.7437,0.000381069,0.008750218,0.018134664,0.049756079
71.5672,2.6614,0.000369639,0.0090966,0.01949068,0.051872495
74.1542,2.587,0.000359306,0.009433332,0.020845404,0.053927061
76.6734,2.5192,0.000349889,0.009761269,0.022199048,0.055923842
79.1304,2.457,0.00034125,0.010081136,0.023551736,0.057866616
81.5302,2.3998,0.000333306,0.010393582,0.02490354,0.059763515
83.8771,2.3469,0.000325958,0.010699164,0.026254606,0.061616936
86.1748,2.2977,0.000319125,0.01099836,0.027605027,0.06342807
88.4266,2.2518,0.00031275,0.011291599,0.028954834,0.065200494
90.6355,2.2089,0.000306792,0.011390308,0.030304069,0.066938658
92.8304,2.1949,0.000304847,0.0113742,0.030764069,0.067524055
95.0253,2.1949,0.000304847,0.011322773,0.030688803,0.067358853
97.2202,2.1949,0.000304847,0.011267208,0.030449027,0.066832569
99.4151,2.1949,0.000304847,0.011217216,0.030190855,0.066265908
101.61,2.1949,0.000304847,0.011175035,0.029959366,0.065757812
103.8049,2.1949,0.000304847,0.011140473,0.029764632,0.06533039
105.9998,2.1949,0.000304847,0.011112618,0.029605476,0.06498106
108.1947,2.1949,0.000304847,0.011090415,0.029477463,0.064700084
110.3896,2.1949,0.000304847,0.011072872,0.029375596,0.064476495
112.5845,2.1949,0.000304847,0.011059117,0.029295212,0.064300061
114.7794,2.1949,0.000304847,0.01104841,0.02923225,0.064161865
116.9743,2.1949,0.000304847,0.011040135,0.02918328,0.064054381
119.1692,2.1949,0.000304847,0.011033789,0.02914546,0.06397137
121.3641,2.1949,0.000304847,0.01102896,0.029116466,0.063907731
123.559,2.1949,0.000304847,0.011025318,0.029094412,0.063859326
125.7539,2.1949,0.000304847,0.011022601,0.029077787,0.063822834
127.9488,2.1949,0.000304847,0.011020598,0.029065381,0.063795605
130.1437,2.1949,0.000304847,0.011019145,0.029056241,0.063775542
132.3386,2.1949,0.000304847,0.011018114,0.029049612,0.063760994
134.5335,2.1949,0.000304847,0.011017405,0.029044908,0.063750669
136.7284,2.1949,0.000304847,0.011016938,0.02904167,0.063743561
138.9233,2.1949,0.000304847,0.011016656,0.029039544,0.063738894
141.1182,2.1949,0.000304847,0.011016512,0.029038255,0.063736067
143.3131,2.1949,0.000304847,0.01101647,0.029037596,0.06373462
145.508,2.1949,0.000304847,0.011016504,0.029037405,0.0637342
147.7029,2.1949,0.000304847,0.011016593,0.02903756,0.063734541
149.8978,2.1949,0.000304847,0.011016723,0.02903797,0.063735439
152.0927,2.1949,0.000304847,0.011016882,0.029038562,0.06373674
154.2876,2.1949,0.000304847,0.011017061,0.029039286,0.063738328
156.4825,2.1949,0.000304847,0.011017253,0.0290401,0.063740116
158.6774,2.1949,0.000304847,0.011017453,0.029040977,0.063742039
160.8723,2.1949,0.000304847,0.011017659,0.029041892,0.063744049
163.0672,2.1949,0.000304847,0.011017867,0.029042831,0.063746109
165.2621,2.1949,0.000304847,0.011018076,0.02904378,0.063748193
167.457,2.1949,0.000304847,0.011018283,0.029044732,0.063750282
169.6519,2.1949,0.000304847,0.011018489,0.02904568,0.063752362
171.8468,2.1949,0.000304847,0.011018692,0.029046618,0.063754423
174.0417,2.1949,0.000304847,0.011018892,0.029047545,0.063756457
176.2366,2.1949,0.000304847,0.011019089,0.029048458,0.06375846
178.4315,2.1949,0.000304847,0.011019282,0.029049355,0.063760429
180.6264,2.1949,0.000304847,0.011019471,0.029050235,0.063762362
182.8213,2.1949,0.000304847,0.011019656,0.029051099,0.063764257
185.0162,2.1949,0.000304847,0.011019838,0.029051945,0.063766115
187.2111,2.1949,0.000304847,0.011020016,0.029052775,0.063767935
189.406,2.1949,0.000304847,0.011020191,0.029053587,0.063769718
191.6009,2.1949,0.000304847,0.011020361,0.029054383,0.063771464
193.7958,2.1949,0.000304847,0.011020529,0.029055162,0.063773174
195.9907,2.1949,0.000304847,0.011020692,0.029055925,0.06377485
198.1856,2.1949,0.000304847,0.011020853,0.029056673,0.063776491
200.3805,2.1949,0.000304847,0.01102101,0.029057405,0.063778099
202.5754,2.1949,0.000304847,0.011021164,0.029058123,0.063779674
204.7703,2.1949,0.000304847,0.011021316,0.029058827,0.063781219
206.9652,2.1949,0.000304847,0.011021464,0.029059517,0.063782733
209.1601,2.1949,0.000304847,0.011021609,0.029060193,0.063784217
211.355,2.1949,0.000304847,0.011021752,0.029060856,0.063785674
