# Hydrograph at the point with coordinates: 82.8755771271 69.7665107692
# A pixel size is [m2]:
# 1.0
# time[s];deltaTime[s];Rainfall[m];Water_level_[m];Sheet_Flow[m3/s];Sheet_V_runoff[m3];Sheet_V_rest[m3];Infiltration[m];Surface_retetion[m];State;V_inflow[m3];WlevelTotal[m];WlevelRill[m];Rill_width[m];Rill_flow[m3/s];Rill_V_runoff[m3];Rill_V_rest;Surface_Flow[m3/s];Surface_V_runoff[m3];SurfaceBil[m3];V_to_rill.m3.;ratio;courant;courantrill;iter
0.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;0
20.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
40.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
60.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
80.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
100.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
120.0;20.0;0.0005;0.0;0.0;0.0;0.0;0;0.0005;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
140.0;20.0;0.0005;0.0;0.0;0.0;0.0;0;0.0005;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
160.0;20.0;0.0005;0.0;0.0;0.0;0.0;0.0005;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
180.0;20.0;0.0005;0.0;0.0;0.0;0.0;0.0005;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1
